name,wikipedia_url,wikidata_id,birth_date,death_date,cause_of_death,manner_of_death,age_status,minimum_lifespan_days,maximum_lifespan_days,possible_age_range,leaf_occupations
Lord Flea,https://en.wikipedia.org/wiki/Lord_Flea,Q11762576,1932,1959-05-18,,,possible,9634,9999,"26 years, 138 days to 27 years, 137 days",singer; songwriter
Jesse Belvin,https://en.wikipedia.org/wiki/Jesse_Belvin,Q1688139,1932-12-15,1960-02-06,traffic collision,accidental death,confirmed,9914,9914,"27 years, 53 days",pianist; singer; songwriter
Doug Watkins,https://en.wikipedia.org/wiki/Doug_Watkins,Q1251883,1934-03-02,1962-02-05,traffic collision,,confirmed,10202,10202,"27 years, 340 days",jazz musician
Prince La La,https://en.wikipedia.org/wiki/Prince_La_La,Q7244131,1936,1963,,,confirmed,9497,10226,"26 years, 1 day to 27 years, 364 days",singer
Margarita Sierra,https://en.wikipedia.org/wiki/Margarita_Sierra,Q6760170,1936-01-05,1963-09-06,,,confirmed,10106,10106,"27 years, 244 days",singer
Joe Carson,https://en.wikipedia.org/wiki/Joe_Carson_(musician),Q104851422,1936,1964,,,confirmed,9862,10592,"27 years, 1 day to 28 years, 365 days",singer-songwriter
Rudy Lewis,https://en.wikipedia.org/wiki/Rudy_Lewis,Q2174563,1936-08-23,1964-05-20,drug overdose,,confirmed,10132,10132,"27 years, 271 days",singer
Joe Henderson,https://en.wikipedia.org/wiki/Joe_Henderson_(gospel_singer),Q6210271,1937-04-24,1964-10-25,myocardial infarction,natural causes,confirmed,10046,10046,"27 years, 184 days",singer
Rockin' Robin Roberts,https://en.wikipedia.org/wiki/Rockin%27_Robin_Roberts,Q7355329,1940-11-23,1967-12-22,traffic collision,accidental death,confirmed,9890,9890,"27 years, 29 days",singer
Dickie Pride,https://en.wikipedia.org/wiki/Dickie_Pride,Q1210023,1941-10-21,1969-03-26,,,confirmed,10018,10018,"27 years, 156 days",singer
Brian Jones,https://en.wikipedia.org/wiki/Brian_Jones,Q204943,1942-02-28,1969-07-03,drowning,death by misadventure,confirmed,9987,9987,"27 years, 125 days",bandleader; guitarist; multi-instrumentalist; record producer; singer
Alexandra,https://en.wikipedia.org/wiki/Alexandra_(singer),Q427878,1942-05-19,1969-07-31,traffic collision,accidental death,confirmed,9935,9935,"27 years, 73 days",composer; schlager singer
Tony Tribe,https://en.wikipedia.org/wiki/Tony_Tribe,Q102722739,1943-10-09,1979,,,possible,12868,13232,"35 years, 84 days to 36 years, 83 days",singer
Ria Bartok,https://en.wikipedia.org/wiki/Ria_Bartok,Q3429988,1943-01-26,1970-02-28,,accidental death,confirmed,9895,9895,"27 years, 33 days",singer
Soledad Miranda,https://en.wikipedia.org/wiki/Soledad_Miranda,Q266319,1943-07-09,1970-08-18,traffic collision,accidental death,confirmed,9902,9902,"27 years, 40 days",singer
Alan Wilson,https://en.wikipedia.org/wiki/Alan_Wilson_(musician),Q719520,1943-07-04,1970-09-03,drug overdose,,confirmed,9923,9923,"27 years, 61 days",guitarist; singer-songwriter
Jimi Hendrix,https://en.wikipedia.org/wiki/Jimi_Hendrix,Q5928,1942-11-27,1970-09-18,asphyxia,accidental death,confirmed,10157,10157,"27 years, 295 days",record producer; rock guitarist; singer-songwriter; vocalist
Janis Joplin,https://en.wikipedia.org/wiki/Janis_Joplin,Q1514,1943-01-19,1970-10-04,opioid overdose,accidental death,confirmed,10120,10120,"27 years, 258 days",singer
Jim Morrison,https://en.wikipedia.org/wiki/Jim_Morrison,Q44301,1943-12-08,1971-07-03,,undetermined,confirmed,10069,10069,"27 years, 207 days",lyricist; rock musician; singer-songwriter; vocalist
Linda Jones,https://en.wikipedia.org/wiki/Linda_Jones,Q1679683,1944-12-14,1972-03-14,diabetes,natural causes,confirmed,9952,9952,"27 years, 91 days",singer
Leslie Harvey,https://en.wikipedia.org/wiki/Leslie_Harvey,Q324376,1944-09-13,1972-05-03,electrocution,death by misadventure,confirmed,10094,10094,"27 years, 233 days",guitarist
Allan F. Nicholls,https://en.wikipedia.org/wiki/Allan_F._Nicholls,Q15442268,1945-04-08,1973-02-18,,,confirmed,10178,10178,"27 years, 316 days",composer
"Ron ""Pigpen"" McKernan",https://en.wikipedia.org/wiki/Ron_%22Pigpen%22_McKernan,Q2165146,1945-09-08,1973-03-08,gastrointestinal bleeding,natural causes,confirmed,10043,10043,"27 years, 181 days",percussionist; singer
Pamela Courson,https://en.wikipedia.org/wiki/Pamela_Courson,Q428967,1946-12-22,1974-04-25,drug overdose,accidental death,confirmed,9986,9986,"27 years, 124 days",singer
Dave Alexander,https://en.wikipedia.org/wiki/Dave_Alexander_(musician),Q562112,1947-06-03,1975-02-10,pulmonary edema,natural causes,confirmed,10114,10114,"27 years, 252 days",bassist; songwriter
Pete Ham,https://en.wikipedia.org/wiki/Pete_Ham,Q1493339,1947-04-27,1975-04-24,hanging to death,suicide,confirmed,10224,10224,"27 years, 362 days",guitarist; singer; songwriter
Gary Thain,https://en.wikipedia.org/wiki/Gary_Thain,Q724243,1948-05-15,1975-12-08,drug overdose,,confirmed,10068,10068,"27 years, 207 days",bass guitarist
Visnujana Swami,https://en.wikipedia.org/wiki/Visnujana_Swami,Q4112767,1948-06-02,1976,,,confirmed,10074,10439,"27 years, 213 days to 28 years, 212 days",musician
Cecilia,https://en.wikipedia.org/wiki/Cecilia_(Spanish_singer),Q937017,1948-10-11,1976-08-02,traffic collision,accidental death,confirmed,10157,10157,"27 years, 296 days",recording artist; singer-songwriter
Art Lown,https://en.wikipedia.org/wiki/Art_Lown,Q137802677,1949-12-21,1977-02-08,,,confirmed,9911,9911,"27 years, 49 days",singer-songwriter
Helmut Köllen,https://en.wikipedia.org/wiki/Helmut_K%C3%B6llen,Q5709669,1950-03-02,1977-05-03,carbon monoxide poisoning,natural causes,confirmed,9924,9924,"27 years, 62 days",singer
José Carlos Schwarz,https://en.wikipedia.org/wiki/Jos%C3%A9_Carlos_Schwarz,Q3322725,1949-12-06,1977-05-27,aviation accident,,confirmed,10034,10034,"27 years, 172 days",musician
André Paiement,https://en.wikipedia.org/wiki/Andr%C3%A9_Paiement,Q2848386,1950-06-28,1978-01-23,,suicide,confirmed,10071,10071,"27 years, 209 days",singer-songwriter
Chris Bell,https://en.wikipedia.org/wiki/Chris_Bell_(American_musician),Q5105876,1951-01-12,1978-12-27,traffic collision,accidental death,confirmed,10211,10211,"27 years, 349 days",guitarist; singer-songwriter
Jacob Miller,https://en.wikipedia.org/wiki/Jacob_Miller_(musician),Q655163,1952-05-04,1980-03-23,traffic collision,accidental death,confirmed,10185,10185,"27 years, 324 days",singer; songwriter
Bert Bertrand,https://en.wikipedia.org/wiki/Bert_Bertrand,Q2899181,1955-04-01,1983-02-06,,suicide,confirmed,10173,10173,"27 years, 311 days",musician
D. Boon,https://en.wikipedia.org/wiki/D._Boon,Q744528,1958-04-01,1985-12-22,traffic collision,accidental death,confirmed,10127,10127,"27 years, 265 days",guitarist; singer-songwriter
Happy Akhand,https://en.wikipedia.org/wiki/Happy_Akhand,Q13060298,1960-10-12,1987-12-28,,,confirmed,9938,9938,"27 years, 77 days",singer
Alexander Bashlachev,https://en.wikipedia.org/wiki/Alexander_Bashlachev,Q973400,1960-05-27,1988-02-17,falling,suicide,confirmed,10127,10127,"27 years, 266 days",guitarist; singer-songwriter
Amar Singh Chamkila,https://en.wikipedia.org/wiki/Amar_Singh_Chamkila,Q4740048,1960-07-01; 1960-07-21; 1961-07-21,1988-03-08,gunshot wound,homicide,confirmed,9727,10112,"26 years, 231 days to 27 years, 251 days",singer; songwriter
Jean-Michel Basquiat,https://en.wikipedia.org/wiki/Jean-Michel_Basquiat,Q155407,1960-12-22,1988-08-12,heroin overdose,accidental death,confirmed,10095,10095,"27 years, 234 days",composer; record producer
Fathead,https://en.wikipedia.org/wiki/Fathead_(musician),Q5437532,1960,1988-10-19,,,possible,10154,10519,"27 years, 293 days to 28 years, 292 days",musician
Pete de Freitas,https://en.wikipedia.org/wiki/Pete_de_Freitas,Q5742577,1961-08-02,1989-06-14,traffic collision,,confirmed,10178,10178,"27 years, 316 days",drummer; songwriter
Finbarr Donnelly,https://en.wikipedia.org/wiki/Finbarr_Donnelly,Q95364170,1962-04-25,1989-06-18,drowning,accidental death,confirmed,9916,9916,"27 years, 54 days",singer
Chris Austin,https://en.wikipedia.org/wiki/Chris_Austin,Q5105771,1964-02-24,1991-03-16,,,confirmed,9882,9882,"27 years, 20 days",singer-songwriter
Mia Zapata,https://en.wikipedia.org/wiki/Mia_Zapata,Q2485489,1965-08-25,1993-07-07,,homicide,confirmed,10178,10178,"27 years, 316 days",singer
Ümit Yılbar,https://en.wikipedia.org/wiki/%C3%9Cmit_Y%C4%B1lbar,Q55929914,1966,1993-09-25,,,confirmed,9765,10129,"26 years, 268 days to 27 years, 267 days",guitarist
Dirtsman,https://en.wikipedia.org/wiki/Dirtsman,Q1228204,1966,1993-12-21,,,confirmed,9852,10216,"26 years, 355 days to 27 years, 354 days",singer
Kurt Cobain,https://en.wikipedia.org/wiki/Kurt_Cobain,Q8446,1967-02-20,1994-04-05,gunshot wound,suicide,confirmed,9906,9906,"27 years, 44 days",guitarist; rock singer; songwriter
Kristen Pfaff,https://en.wikipedia.org/wiki/Kristen_Pfaff,Q240554,1967-05-26,1994-06-16,drug overdose,,confirmed,9883,9883,"27 years, 21 days",musician
Stretch,https://en.wikipedia.org/wiki/Stretch_(rapper),Q5640221,1968-04-08,1995-11-30,,homicide,confirmed,10097,10097,"27 years, 236 days",hip hop producer; rapper
Seagram,https://en.wikipedia.org/wiki/Seagram_(rapper),Q7440442,1969-04-13,1996-07-31,,homicide,confirmed,9971,9971,"27 years, 109 days",rapper
Fat Pat,https://en.wikipedia.org/wiki/Fat_Pat,Q1397912,1970-12-04,1998-02-03,,homicide,confirmed,9923,9923,"27 years, 61 days",rapper
Freaky Tah,https://en.wikipedia.org/wiki/Freaky_Tah,Q5494305,1971-05-14,1999-03-28,,homicide,confirmed,10180,10180,"27 years, 318 days",rapper
Kami,https://en.wikipedia.org/wiki/Kami_(musician),Q2734152,1972-02-01,1999-06-21,cerebral hemorrhage,natural causes,confirmed,10002,10002,"27 years, 140 days",drummer
Rodrigo Bueno,https://en.wikipedia.org/wiki/Rodrigo_(musician),Q321108,1973-05-24,2000-06-24,car collision,accidental death,confirmed,9893,9893,"27 years, 31 days",singer
Moses Taiwa Molelekwa,https://en.wikipedia.org/wiki/Moses_Taiwa_Molelekwa,Q1949226,1973-04-17,2001-02-13,,,confirmed,10164,10164,"27 years, 302 days",jazz musician; pianist
María Serrano Serrano,https://en.wikipedia.org/wiki/Maria_Serrano_Serrano_(Passion_Fruit),Q11769142,1973-11-26,2001-11-24,aviation accident,accidental death,confirmed,10225,10225,"27 years, 363 days",singer
Jeremy Ward,https://en.wikipedia.org/wiki/Jeremy_Ward_(musician),Q1061870,1976-05-05,2003-05-25,drug overdose,,confirmed,9881,9881,"27 years, 20 days",musician
Tsakani Mhinga,https://en.wikipedia.org/wiki/Tsakani_Mhinga,Q7849324,1979,2006-02-27,,,confirmed,9555,9919,"26 years, 58 days to 27 years, 57 days",musician
Moses Khumalo,https://en.wikipedia.org/wiki/Moses_Khumalo,Q1765166,1979-01-30,2006-09-04,hanging to death,suicide,confirmed,10079,10079,"27 years, 217 days",jazz musician; saxophonist
Valentín Elizalde,https://en.wikipedia.org/wiki/Valent%C3%ADn_Elizalde,Q963396,1979-02-01,2006-11-25,gunshot wound,homicide,confirmed,10159,10159,"27 years, 297 days",singer
Tigist Shibabaw,https://en.wikipedia.org/wiki/Tigist_Shibabaw,Q7801669,1980,2008-01,,,possible,9862,10257,"27 years, 1 day to 28 years, 30 days",singer
Justin Mentell,https://en.wikipedia.org/wiki/Justin_Mentell,Q126870,1982-12-16,2010-02-01,traffic collision,accidental death,confirmed,9909,9909,"27 years, 47 days",musician
Amy Winehouse,https://en.wikipedia.org/wiki/Amy_Winehouse,Q15897,1983-09-14,2011-07-23,alcohol intoxication,natural causes,confirmed,10174,10174,"27 years, 312 days",jazz guitarist; recording artist; singer-songwriter
Takunda Mafika,https://en.wikipedia.org/wiki/Takunda_Mafika,Q7678593,1983-10-31,2011-10-12,,,confirmed,10208,10208,"27 years, 346 days",musician
Jesse Morris,https://en.wikipedia.org/wiki/Jesse_Morris,Q116798157,1984-11-06,2011-11-06,,,confirmed,9861,9861,"27 years, 0 days",guitarist
